date,open,low,high,close,volume
2021-10-11 00:00:00,1481.29,1480.31,1511.21,1510.27,211043700
2021-10-12 00:00:00,1514.78,1504.24,1517.21,1509.57,162655700
2021-10-13 00:00:00,1512.73,1502.19,1519.11,1505.55,137277800
2021-10-14 00:00:00,1504.85,1498.21,1511.14,1503.38,159952700
2021-10-15 00:00:00,1508.37,1499.7,1512.61,1504.84,151731800
2021-10-18 00:00:00,1508.88,1505.39,1517.7,1510.49,167733700
2021-10-19 00:00:00,1512.1,1503.89,1513.83,1507.19,142509300
2021-10-20 00:00:00,1510.38,1486.26,1516.74,1505.03,182022000
2021-10-21 00:00:00,1509.05,1489.26,1510.2,1489.26,166371200
2021-10-22 00:00:00,1494.89,1486.57,1498.25,1488.71,127282900
2021-10-25 00:00:00,1492.35,1476.97,1492.35,1476.97,202649000
2021-10-26 00:00:00,1474.36,1467.02,1483.65,1482.62,143685900
2021-10-27 00:00:00,1487.45,1485.12,1516.46,1516.46,201353000
2021-10-28 00:00:00,1522.11,1513.12,1530.77,1529.26,190779100
2021-10-29 00:00:00,1529.42,1525.73,1533.86,1532.35,197579000
2021-11-01 00:00:00,1534.17,1513.98,1534.88,1516.75,252416300
2021-11-02 00:00:00,1514.91,1514.75,1522.9,1521.35,186412200
2021-11-03 00:00:00,1526.38,1521.94,1537.59,1530.65,324556200
2021-11-04 00:00:00,1531.92,1524.54,1535.9,1528.21,173097200
2021-11-05 00:00:00,1531.35,1523.16,1536.47,1531.76,156544900
2021-11-08 00:00:00,1535.83,1528.71,1541.83,1535.66,219015500
2021-11-09 00:00:00,1539.73,1524.36,1542.75,1527.13,210505900
2021-11-10 00:00:00,1530.69,1518.89,1531.7,1523.79,204461200
2021-11-11 00:00:00,1524.52,1503.77,1526.72,1514.36,258427300
2021-11-12 00:00:00,1514.96,1504.52,1529.03,1527.94,152556600
2021-11-15 00:00:00,1534.31,1521.94,1534.44,1528.68,232161500
2021-11-16 00:00:00,1526.11,1513.5,1530.32,1517.22,214948000
2021-11-17 00:00:00,1517.67,1513.65,1522.5,1519.58,165538300
2021-11-18 00:00:00,1522.39,1503.42,1523.19,1503.42,256828300
2021-11-19 00:00:00,1508.52,1486.59,1521.63,1500.05,322630600
2021-11-22 00:00:00,1506.38,1502.25,1530.43,1517.04,274789700
2021-11-23 00:00:00,1518.39,1513.23,1533.12,1533.12,173026700
2021-11-24 00:00:00,1534.87,1530.61,1567.77,1565.29,371792500
2021-11-25 00:00:00,1573.29,1567.67,1579.56,1572.46,255689400
2021-11-26 00:00:00,1576.74,1564.39,1587.0,1566.55,286506800
2021-11-29 00:00:00,1541.22,1541.22,1558.86,1553.04,270835200
2021-11-30 00:00:00,1567.44,1531.82,1568.09,1537.59,254246000
2021-12-01 00:00:00,1536.67,1531.2,1549.81,1549.81,183018700
2021-12-02 00:00:00,1553.21,1540.88,1555.49,1540.88,155692100
2021-12-03 00:00:00,1551.37,1503.98,1551.97,1503.98,237844400
2021-12-06 00:00:00,1507.45,1464.91,1515.47,1480.92,264304900
2021-12-07 00:00:00,1493.07,1488.13,1512.62,1512.62,167560600
2021-12-08 00:00:00,1515.59,1508.69,1523.95,1516.16,176054000
2021-12-09 00:00:00,1509.4,1509.4,1529.61,1529.61,141320100
2021-12-10 00:00:00,1529.43,1517.59,1533.23,1519.46,172565800
2021-12-13 00:00:00,1523.26,1517.98,1526.53,1520.8,166213200
2021-12-14 00:00:00,1518.39,1513.14,1529.93,1516.44,170665700
2021-12-15 00:00:00,1516.98,1512.05,1525.14,1519.42,150689400
2021-12-16 00:00:00,1525.33,1501.41,1526.75,1510.17,187576000
2021-12-17 00:00:00,1514.81,1510.17,1520.97,1513.56,220350000
